CustomerID,recency_days,frequency,monetary,country,R_score,F_score,M_score,rfm_score,segment
12346,326,3,77352.96,United Kingdom,2,3,5,10,Loyal
12347,2,8,5633.32,Iceland,5,4,5,14,VIP
12348,75,5,1658.4,Finland,3,4,4,11,Loyal
12349,19,3,3678.69,Italy,5,3,5,13,VIP
12350,310,1,294.4,Norway,2,1,2,5,At-Risk
12351,375,1,300.93,Unspecified,2,1,2,5,At-Risk
12352,36,9,1729.54,Norway,4,5,4,13,VIP
12353,204,2,406.76,Bahrain,2,2,2,6,At-Risk
12354,232,1,1079.4,Spain,2,1,3,6,At-Risk
12355,214,2,947.61,Bahrain,2,2,3,7,Potential
12356,23,6,5613.68,Portugal,4,4,5,13,VIP
12357,33,2,17437.66,Switzerland,4,2,5,11,Loyal
12358,2,5,3447.07,Austria,5,4,5,14,VIP
12359,58,10,8935.94,Cyprus,4,5,5,14,VIP
12360,52,6,3612.89,Austria,4,4,5,13,VIP
12361,287,4,451.25,Belgium,2,3,2,7,Potential
12362,3,10,4737.23,Belgium,5,5,5,15,VIP
12363,110,2,552.0,Unspecified,3,2,2,7,Potential
12364,8,4,1208.1,Belgium,5,3,3,11,Loyal
12365,291,1,320.69,Cyprus,2,1,2,5,At-Risk
12366,634,1,500.24,Cyprus,1,1,2,4,At-Risk
12367,4,1,150.9,Denmark,5,1,1,7,Potential
12368,628,1,917.7,Cyprus,1,1,3,5,At-Risk
12369,413,3,1511.15,Austria,1,3,4,8,Potential
12370,51,7,3960.31,Austria,4,4,5,13,VIP
12371,60,4,3347.38,Switzerland,3,3,5,11,Loyal
12372,72,3,1196.04,Denmark,3,3,3,9,Potential
12373,311,3,927.65,Austria,2,3,3,8,Potential
12374,25,3,2669.22,Austria,4,3,4,11,Loyal
12375,11,2,377.5,Finland,5,2,2,9,Potential
12376,390,2,383.15,Switzerland,2,2,2,6,At-Risk
12377,315,4,3266.32,Switzerland,2,3,5,10,Loyal
12378,130,2,5416.32,Switzerland,3,2,5,10,Loyal
12379,82,4,1470.22,Belgium,3,3,4,10,Loyal
12380,22,8,7210.65,Belgium,4,4,5,13,VIP
12381,5,3,1474.81,Norway,5,3,4,12,Loyal
12383,185,5,1628.56,Belgium,3,4,4,11,Loyal
12384,29,2,425.27,Switzerland,4,2,2,8,Potential
12385,379,1,1668.4,Belgium,2,1,4,7,Potential
12386,338,2,660.8,Australia,2,2,3,7,Potential
12387,415,1,143.94,Australia,1,1,1,3,Lost
12388,16,8,3901.11,Australia,5,4,5,14,VIP
12389,403,3,1433.33,Australia,2,3,4,9,Potential
12390,80,1,504.84,Belgium,3,1,2,6,At-Risk
12391,22,6,2773.42,Cyprus,4,4,4,12,Loyal
12392,591,1,234.75,Australia,1,1,1,3,Lost
12393,72,6,2399.45,Australia,3,4,4,11,Loyal
12394,64,2,1080.48,Belgium,3,2,3,8,Potential
12395,19,15,4551.27,Belgium,5,5,5,15,VIP
12396,674,1,931.43,RSA,1,1,3,5,At-Risk
12397,36,2,2214.9,Belgium,4,2,4,10,Loyal
12398,46,1,1435.66,Switzerland,4,1,4,9,Potential
12399,119,7,1842.3,Belgium,3,4,4,11,Loyal
12400,414,1,205.25,Australia,1,1,1,3,Lost
12401,303,1,69.3,Belgium,2,1,1,4,At-Risk
12402,323,6,1136.9,Belgium,2,4,3,9,Potential
12403,50,2,947.36,Denmark,4,2,3,9,Potential
12405,149,1,1390.39,Finland,3,1,4,8,Potential
12406,22,5,6390.36,Denmark,4,4,5,13,VIP
12407,50,5,1507.12,Belgium,4,4,4,12,Loyal
12408,33,8,3905.77,Belgium,4,4,5,13,VIP
12409,79,7,23419.29,Switzerland,3,4,5,12,Loyal
12410,309,3,773.71,Switzerland,2,3,3,8,Potential
12411,410,1,346.9,Australia,1,1,2,4,At-Risk
12412,75,6,2404.93,Denmark,3,4,4,11,Loyal
12413,67,4,871.45,Spain,3,3,3,9,Potential
12414,217,4,532.41,Austria,2,3,2,7,Potential
12415,24,24,144033.37,Australia,4,5,5,14,VIP
12416,657,1,202.56,Australia,1,1,1,3,Lost
12417,3,20,6017.91,Belgium,5,5,5,15,VIP
12418,113,4,2021.2,Switzerland,3,3,4,10,Loyal
12419,386,2,391.01,Spain,2,2,2,6,At-Risk
12420,64,1,600.39,Cyprus,3,1,2,6,At-Risk
12421,16,6,874.6,Spain,5,4,3,12,Loyal
12422,96,12,3639.35,Australia,3,5,5,13,VIP
12423,1,10,2301.39,Denmark,5,5,4,14,VIP
12424,163,4,3340.03,Australia,3,3,5,11,Loyal
12425,78,2,1741.41,Portugal,3,2,4,9,Potential
12426,195,2,1201.21,Germany,2,2,3,7,Potential
12427,22,3,949.3,Germany,4,3,3,10,Loyal
12428,26,8,6405.26,Finland,4,4,5,13,VIP
12429,9,8,6979.91,Denmark,5,4,5,14,VIP
12430,43,1,216.4,Norway,4,1,1,6,At-Risk
12431,36,25,10527.97,Belgium,4,5,5,14,VIP
12432,43,4,4359.32,Norway,4,3,5,12,Loyal
12433,1,10,20581.26,Norway,5,5,5,15,VIP
12434,85,3,1103.43,Australia,3,3,3,9,Potential
12435,80,6,13925.93,Denmark,3,4,5,12,Loyal
12436,100,1,429.01,Norway,3,1,2,6,At-Risk
12437,2,38,11282.4,France,5,5,5,15,VIP
12438,14,2,2466.85,Norway,5,2,4,11,Loyal
12439,683,2,1158.18,Cyprus,1,2,3,6,At-Risk
12440,462,2,739.2,Austria,1,2,3,6,At-Risk
12441,367,1,311.1,France,2,1,2,5,At-Risk
12442,3,1,144.06,Spain,5,1,1,7,Potential
12443,732,1,365.31,Norway,1,1,2,4,At-Risk
12444,21,5,4085.46,Norway,4,4,5,13,VIP
12445,22,2,378.98,Spain,4,2,2,8,Potential
12446,58,1,1002.31,RSA,4,1,3,8,Potential
12447,243,1,431.49,Belgium,2,1,2,5,At-Risk
12448,44,1,365.45,Spain,4,1,2,7,Potential
12449,22,5,4274.89,Denmark,4,4,5,13,VIP
12450,156,5,688.2,Spain,3,4,3,10,Loyal
12451,11,8,12629.88,Switzerland,5,4,5,14,VIP
12452,17,1,348.57,Switzerland,5,1,2,8,Potential
12453,134,1,707.09,Austria,3,1,3,7,Potential
12454,56,4,16459.78,Spain,4,3,5,12,Loyal
12455,73,9,5722.95,Cyprus,3,5,5,13,VIP
12456,44,3,2581.04,Switzerland,4,3,4,11,Loyal
12457,66,7,2555.91,Switzerland,3,4,4,11,Loyal
12458,71,4,1502.49,Switzerland,3,3,4,10,Loyal
12459,605,1,398.36,Spain,1,1,2,4,At-Risk
12460,456,1,296.65,Belgium,1,1,2,4,At-Risk
12461,155,1,626.88,Switzerland,3,1,3,7,Potential
12462,19,2,937.59,Spain,5,2,3,10,Loyal
12463,53,4,1200.78,Belgium,4,3,3,10,Loyal
12464,10,8,957.05,Belgium,5,4,3,12,Loyal
12465,17,2,682.19,Belgium,5,2,3,10,Loyal
12467,423,1,132.8,USA,1,1,1,3,Lost
12468,188,5,3238.74,Germany,2,4,5,11,Loyal
12469,523,2,3070.54,Thailand,1,2,5,8,Potential
12470,690,1,211.95,Unspecified,1,1,1,3,Lost
12471,2,71,35145.5,Germany,5,5,5,15,VIP
12472,32,19,16494.59,Germany,4,5,5,14,VIP
12473,54,3,2596.23,Germany,4,3,4,11,Loyal
12474,17,29,11362.45,Germany,5,5,5,15,VIP
12475,54,2,1065.64,Germany,4,2,3,9,Potential
12476,16,18,12351.41,Germany,5,5,5,15,VIP
12477,23,9,20276.37,Germany,4,5,5,14,VIP
12478,4,1,545.99,Greece,5,1,2,8,Potential
12479,11,1,473.2,Germany,5,1,2,8,Potential
12480,28,7,4834.85,Germany,4,4,5,13,VIP
12481,23,14,11191.39,Germany,4,5,5,14,VIP
12482,576,27,21941.72,Sweden,1,5,5,11,Loyal
12483,17,19,4092.58,Sweden,5,5,5,15,VIP
12484,35,9,5573.15,Spain,4,5,5,14,VIP
12485,529,1,708.1,Sweden,1,1,3,5,At-Risk
12486,432,1,917.28,Sweden,1,1,3,5,At-Risk
12487,731,1,285.3,Sweden,1,1,1,3,Lost
12488,10,3,1244.66,France,5,3,4,12,Loyal
12489,336,1,298.93,France,2,1,2,5,At-Risk
12490,5,20,8764.64,France,5,5,5,15,VIP
12491,39,1,424.4,France,4,1,2,7,Potential
12492,63,3,607.21,Germany,3,3,2,8,Potential
12493,166,2,379.74,France,3,2,2,7,Potential
12494,16,9,1602.87,France,5,5,4,14,VIP
12495,641,1,277.4,Sweden,1,1,1,3,Lost
12496,620,2,54.09,Spain,1,2,1,4,At-Risk
12497,82,3,5996.5,Germany,3,3,5,11,Loyal
12498,21,3,349.7,Germany,4,3,2,9,Potential
12499,560,1,357.72,Germany,1,1,2,4,At-Risk
12500,23,18,5559.21,Germany,4,5,5,14,VIP
12501,337,1,2025.39,Germany,2,1,4,7,Potential
12502,96,5,2995.87,Spain,3,4,5,12,Loyal
12503,584,1,896.0,Spain,1,1,3,5,At-Risk
12504,18,4,689.05,Germany,5,3,3,11,Loyal
12505,409,1,787.2,Italy,2,1,3,6,At-Risk
12506,233,1,73.5,France,2,1,1,4,At-Risk
12507,134,4,1508.06,Spain,3,3,4,10,Loyal
12508,26,2,398.27,France,4,2,2,8,Potential
12509,284,1,158.5,France,2,1,1,4,At-Risk
12510,143,7,3039.03,Spain,3,4,5,12,Loyal
12511,429,1,3084.02,Greece,1,1,5,7,Potential
12512,66,2,138.03,Israel,3,2,1,6,At-Risk
12513,113,1,558.29,France,3,1,2,6,At-Risk
12514,267,2,1597.76,Italy,2,2,4,8,Potential
