StockCode,Description,daily_avg_demand,demand_std_daily,safety_stock,reorder_point,eoq,avg_price,total_units,total_revenue,stockout_risk
10002,INFLATABLE POLITICAL GLOBE,11.6698,13.3851,82.6,246.0,6495.0,0.8413880126182964,8624,6761.5199999999995,Low
10080,GROOVY CACTUS INFLATABLE,0.41,1.0598,6.5,12.2,1565.0,0.5092592592592593,303,124.60999999999999,Low
10109,BENDY COLOUR PENCILS,0.0054,0.0,0.0,0.1,198.0,0.42,4,1.68,Unknown
10120,DOGGY RUBBER,0.8985,0.9848,6.1,18.7,3607.0,0.21,664,139.44,Low
10123C,HEARTS WRAPPING TAPE,0.8552,2.1404,13.2,25.2,2042.0,0.6240000000000001,632,229.36,Low
10123G,ARMY CAMO WRAPPING TAPE,3.0392,19.9261,123.0,165.5,4066.0,0.5592307692307693,2246,157.18,Low
10124A,SPOTS ON RED BOOKCOVER TAPE,0.0839,0.1763,1.1,2.3,779.0,0.42,62,26.04,Low
10124G,ARMY CAMO BOOKCOVER TAPE,0.0501,0.0841,0.5,1.2,602.0,0.42000000000000004,37,15.54,Low
10125,MINI FUNKY DESIGN TAPES,2.728,1.8566,11.5,49.7,3186.0,0.8176691729323309,2016,1601.8,Low
10133,COLOURING PENCILS BROWN TUBE,4.5345,6.1566,38.0,101.5,4573.0,0.6595283018867925,3351,1943.46,Low
10134,COLOURING PENCILS BROWN TUBE,0.8309,2.1103,13.0,24.6,1426.0,1.2426923076923078,614,704.8,Low
10135,COLOURING PENCILS BROWN TUBE,5.3045,6.1019,37.7,112.0,3633.0,1.2225193798449614,3920,4089.39,Low
10138,ASSORTED COLOUR JUMBO PEN,0.3342,2.2139,13.7,18.4,1556.0,0.42,247,103.74,Low
11001,ASSTD DESIGN RACING CAR PEN,5.8525,7.6958,47.5,129.4,3210.0,1.7272105263157895,4325,6696.69,Low
15030,FAN BLACK FRAME,0.3437,0.6803,4.2,9.0,1899.0,0.29,254,73.66,Low
15034,PAPER POCKET TRAVELING FAN,13.4344,15.3713,94.9,283.0,17206.0,0.13803370786516855,9928,1171.52,Low
15036,ASSORTED COLOURS SILK FAN,55.5859,43.998,271.6,1049.8,14859.0,0.7658034321372855,41078,28829.32,Low
15039,SANDALWOOD FAN,5.6333,6.3386,39.1,118.0,4541.0,0.8310752688172042,4163,2863.35,Low
15044A,PINK PAPER PARASOL,6.6306,24.241,149.7,242.5,2612.0,2.956564102564103,4900,12821.48,Low
15044B,BLUE PAPER PARASOL,2.2003,5.2641,32.5,63.3,1514.0,2.920666666666667,1626,4382.3,Low
