StockCode,Description,avg_price,min_price,max_price,price_std,total_units,total_revenue,num_customers,avg_revenue_per_unit,price_volatility_pct,suggested_discount_pct,optimal_price
10002,INFLATABLE POLITICAL GLOBE,0.8413880126182964,0.72,0.85,0.0323836414813834,8624,6761.52,164,0.78,3.8,3.8,0.83
10080,GROOVY CACTUS INFLATABLE,0.5092592592592593,0.39,0.85,0.2054249989641723,303,124.61,23,0.41,40.3,30.0,0.39
10120,DOGGY RUBBER,0.21,0.21,0.21,0.0,664,139.44,52,0.21,0.0,0.0,0.21
10123C,HEARTS WRAPPING TAPE,0.6240000000000001,0.06,0.65,0.1175255074354464,632,229.36,39,0.36,18.8,18.8,0.64
10123G,ARMY CAMO WRAPPING TAPE,0.5592307692307693,0.06,0.65,0.2215649467786491,2246,157.18,12,0.07,39.6,30.0,0.06
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,0.42,0.42,0.0,62,26.04,18,0.42,0.0,0.0,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,0.42,0.42,0.0,37,15.54,9,0.42,0.0,0.0,0.42
10125,MINI FUNKY DESIGN TAPES,0.8176691729323309,0.42,0.85,0.1138172859138524,2016,1601.8,87,0.79,13.9,13.9,0.85
10133,COLOURING PENCILS BROWN TUBE,0.6595283018867925,0.42,0.85,0.2128029240947218,3351,1943.46,153,0.58,32.3,30.0,0.42
10134,COLOURING PENCILS BROWN TUBE,1.2426923076923078,1.06,1.25,0.0368949427755793,614,704.8,44,1.15,3.0,3.0,1.2
10135,COLOURING PENCILS BROWN TUBE,1.2225193798449614,0.25,2.46,0.3544199096913238,3920,4089.39,178,1.04,29.0,29.0,1.23
10138,ASSORTED COLOUR JUMBO PEN,0.42,0.42,0.42,0.0,247,103.74,14,0.42,0.0,0.0,0.42
11001,ASSTD DESIGN RACING CAR PEN,1.7272105263157895,0.5,3.29,0.3277938245650792,4325,6696.69,118,1.55,19.0,19.0,1.65
15030,FAN BLACK FRAME,0.29,0.29,0.29,0.0,254,73.66,23,0.29,0.0,0.0,0.29
15034,PAPER POCKET TRAVELING FAN,0.1380337078651685,0.07,0.14,0.0115987038416725,9928,1171.52,123,0.12,8.4,8.4,0.13
15036,ASSORTED COLOURS SILK FAN,0.7658034321372855,0.48,0.83,0.0631740061314939,41078,28829.32,303,0.7,8.2,8.2,0.82
15039,SANDALWOOD FAN,0.8310752688172042,0.53,0.85,0.0756872993107455,4163,2863.35,127,0.69,9.1,9.1,0.82
15044A,PINK PAPER PARASOL,2.956564102564103,2.55,5.79,0.3036105579021918,4900,12821.48,116,2.62,10.3,10.3,2.9
15044B,BLUE PAPER PARASOL,2.920666666666667,2.55,2.95,0.1046224703280283,1626,4382.3,97,2.7,3.6,3.6,2.9
15044C,PURPLE PAPER PARASOL,2.933030303030303,2.55,2.95,0.0808674332414104,866,2440.3,100,2.82,2.8,2.8,2.92
15044D,RED PAPER PARASOL,2.9334554973822,2.55,5.79,0.2341088295253407,1545,4255.79,105,2.75,8.0,8.0,2.91
15056BL,EDWARDIAN PARASOL BLACK,5.796563245823389,1.95,12.46,0.5340735255025637,9488,46676.22,321,4.92,9.2,9.2,5.6
15056N,EDWARDIAN PARASOL NATURAL,5.78806598407281,1.95,12.46,0.4882887138553392,11027,54741.46,347,4.96,8.4,8.4,5.46
15056P,EDWARDIAN PARASOL PINK,5.841798780487805,3.0,12.46,0.5179058004140168,2492,12141.21,186,4.87,8.9,8.9,5.59
15058A,BLUE POLKADOT GARDEN PARASOL,7.808823529411764,6.75,7.95,0.3904748240735811,148,1104.6,40,7.46,5.0,5.0,5.28
15058A,BLUE WHITE SPOTS GARDEN PARASOL,6.621428571428572,3.95,7.95,1.868564279743265,271,1394.45,41,5.15,28.2,28.2,5.28
15058B,PINK POLKADOT GARDEN PARASOL,7.868181818181818,6.75,7.95,0.3059660471152233,121,913.95,35,7.55,3.9,3.9,6.2
15058B,PINK WHITE SPOTS GARDEN PARASOL,7.132978723404255,3.95,7.95,1.584616144567643,180,1007.0,36,5.59,22.2,22.2,6.2
15058C,ICE CREAM DESIGN GARDEN PARASOL,6.597887323943662,3.95,7.95,1.9056201956265784,413,1963.35,56,4.75,28.9,28.9,6.62
15059A,ENGLISH ROSE EDWARDIAN PARASOL,3.0,3.0,3.0,0.0,505,1515.0,1,3.0,0.0,0.0,3.0
15060B,FAIRY CAKE DESIGN UMBRELLA,3.765177304964539,2.95,8.29,0.4001700756522345,1156,4209.42,174,3.64,10.6,10.6,3.72
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.1573255813953488,0.08,0.25,0.0598316150661396,3143,423.46,64,0.13,38.0,30.0,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,0.12,0.12,0.0,44,5.279999999999999,4,0.12,0.0,0.0,0.12
16011,ANIMAL STICKERS,0.2095689655172413,0.16,0.21,0.0046423834544262,3906,819.06,83,0.21,2.2,2.2,0.21
16012,FOOD/DRINK SPONGE STICKERS,0.21,0.21,0.21,0.0,2190,459.9,53,0.21,0.0,0.0,0.21
16012,FOOD/DRINK SPUNGE STICKERS,0.2074999999999999,0.16,0.21,0.0111803398874989,759,158.19,18,0.21,5.4,5.4,0.21
16014,SMALL CHINESE STYLE SCISSOR,0.395,0.32,0.42,0.0435285750066007,30369,9838.98,46,0.32,11.0,11.0,0.36
16015,MEDIUM CHINESE STYLE SCISSOR,0.4872727272727272,0.36,0.5,0.0405555821651624,1573,711.88,40,0.45,8.3,8.3,0.5
16016,LARGE CHINESE STYLE SCISSOR,0.8404587155963302,0.72,0.85,0.0340583736671842,2331,1885.15,57,0.81,4.1,4.1,0.83
16020C,CLEAR STATIONERY BOX SET,0.85,0.85,0.85,0.0,82,69.69999999999999,22,0.85,0.0,0.0,0.85
16033,MINI HIGHLIGHTER PENS,0.1163265306122449,0.09,0.12,0.0099360198166025,15001,1530.12,43,0.1,8.5,8.5,0.11
16043,POP ART PUSH DOWN RUBBER,0.31,0.06,0.42,0.1634847782739198,2142,179.04000000000002,11,0.08,52.7,30.0,0.06
16044,POP-ART FLUORESCENT PENS,0.24,0.06,0.42,0.2545584412271571,6192,388.8,2,0.06,106.1,30.0,0.06
16045,POPART WOODEN PENCILS ASST,0.0476712328767123,0.04,0.12,0.0237182857227408,9300,428.0,65,0.05,49.8,30.0,0.04
16046,TEATIME PEN CASE & PENS,0.7569230769230769,0.08,0.85,0.2390056071336555,9954,1047.78,44,0.11,31.6,30.0,0.46
16047,POP ART PEN CASE & PENS,0.7858333333333333,0.08,0.85,0.2173939854907127,10589,1017.29,21,0.1,27.7,27.7,0.59
16048,TEATIME ROUND PENCIL SHARPENER,0.1918309859154929,0.12,0.42,0.1289330929386569,3414,498.78,59,0.15,67.2,30.0,0.12
16049,TEATIME GEL PENS ASST,0.2759999999999999,0.12,0.42,0.1529705854077835,3144,542.88,22,0.17,55.4,30.0,0.12
16050,TEATIME PENCIL WITH RUBBER,0.25,0.25,0.25,0.0,122,30.5,4,0.25,0.0,0.0,0.25
16051,TEATIME PENCIL W STAMP ASST,0.3,0.06,0.42,0.2078460969082652,938,82.2,3,0.09,69.3,30.0,0.06
16052,TEATIME PUSH DOWN RUBBER,0.3871428571428571,0.19,0.42,0.0824707740440731,810,249.35,18,0.31,21.3,21.3,0.19
16053,POPART COL BALLPOINT PEN ASST,0.1649999999999999,0.03,0.21,0.0833238089795296,4298,182.58,8,0.04,50.5,30.0,0.03
16054,POPART RECT PENCIL SHARPENER ASST,0.1605405405405405,0.12,0.42,0.1039750489820072,1205,156.9,32,0.13,64.8,30.0,0.12
16119,FUNKY GIRL ADDRESS BOOK,1.0014285714285711,0.38,1.25,0.4245165317326119,271,128.21,7,0.47,42.4,30.0,1.0
16151A,FLOWERS HANDBAG BLUE AND ORANGE,1.25,1.25,1.25,0.0,49,61.25,3,1.25,0.0,0.0,1.25
16156L,WRAP CAROUSEL,0.42,0.42,0.42,0.0,375,157.5,13,0.42,0.0,0.0,0.42
16156L,"WRAP, CAROUSEL",0.42,0.42,0.42,0.0,575,241.5,20,0.42,0.0,0.0,0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",0.42,0.42,0.42,0.0,1450,609.0,51,0.42,0.0,0.0,0.42
16156S,WRAP PINK FAIRY CAKES,0.4153444180522564,0.34,0.42,0.0185981987979905,16686,6569.12,271,0.39,4.5,4.5,0.41
16161C,WRAP SPEED DEMONS,0.1,0.1,0.1,0.0,450,45.0,2,0.1,0.0,0.0,0.1
16161E,WRAP BOUDOIR,0.1,0.1,0.1,0.0,750,75.0,8,0.1,0.0,0.0,0.1
16161G,WRAP BAD HAIR DAY,0.1,0.1,0.1,0.0,975,97.5,31,0.1,0.0,0.0,0.1
16161M,WRAP  PINK FLOCK,0.418,0.34,0.42,0.0126491106406735,1075,449.5,36,0.42,3.0,3.0,0.42
