StockCode,recommended_StockCode,recommended_Description,similarity_score,rank
10002,23215,JINGLE BELL HEART ANTIQUE SILVER,0.9053,1
10002,11001,ASSTD DESIGN RACING CAR PEN,0.9028,2
10002,22991,GIRAFFE WOODEN RULER,0.8875,3
10002,20783,HEART EAR MUFF HEADPHONES,0.885,4
10002,22191,EAU DE NIL DINER WALL CLOCK,0.8806,5
10002,22150,3 STRIPEY MICE FELTCRAFT,0.8662,6
10002,84879,ASSORTED COLOUR BIRD ORNAMENT,0.8354,7
10002,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,0.8301,8
10002,20972,PINK CREAM FELT CRAFT TRINKET BOX,0.8271,9
10002,21481,FAWN BLUE HOT WATER BOTTLE,0.8149,10
10080,84715,SET OF 6 ICE CREAM SKITTLES,0.2383,1
10080,90005A,JADE GREEN ENAMEL HAIR COMB,0.2168,2
10080,35471D,SET OF 3 BIRD LIGHT PINK FEATHER,0.1564,3
10080,16161G,WRAP BAD HAIR DAY,0.1512,4
10080,21194,PINK  HONEYCOMB PAPER FAN,0.1499,5
10080,21195,PINK  HONEYCOMB PAPER BALL,0.146,6
10080,21262,WHITE GOOSE FEATHER CHRISTMAS TREE,0.1276,7
10080,22099,CARAVAN SQUARE TISSUE BOX,0.1256,8
10080,22195,HEART MEASURING SPOONS LARGE,0.1216,9
10080,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,0.118,10
10109,16215,FUNKY GIRLZ MAGNETIC TO DO LIST,0.7845,1
10109,16245A,PINK MINI STATIONERY SET W CASE,0.6547,2
10109,81953B,ROUND ARTICULATED BLUE CLOCK W/SUCK,0.625,3
10109,81953P,ROUND ARTICULATED PINK CLOCK W/SUCK,0.3671,4
10109,23185,FRENCH STYLE STORAGE JAR JAM,0.3128,5
10109,84455,SET OF 3 RABBIT CARROTS EASTER,0.2659,6
10109,84925C,FAIRY CAKES  WALL THERMOMETER,0.2592,7
10109,84340,LARGE FIBRE OPTIC CHRISTMAS TREE,0.2443,8
10109,20673,STRAWBERRIES PRINT BOWL,0.2425,9
10109,47552A,DOTS IRONING BOARD COVER,0.2425,10
10120,16236,KITTY PENCIL ERASERS,0.2509,1
10120,84206A,3 BLACK CATS W HEARTS BLANK CARD,0.2449,2
10120,84559D,3D SHEET OF SEA WORLD STICKERS,0.2319,3
10120,17061,ASSORTED SHAPED STENCIL FOR HENNA,0.2131,4
10120,85024A,CRYSTAL SMALL JEWELLED PHOTOFRAME,0.2131,5
10120,84371,BIG PINK POODLE,0.2092,6
10120,16248B,BLUE HOLE PUNCH,0.2057,7
10120,46037A,PINK CANVAS DES CUSHION COVER,0.1906,8
10120,72739C,DARK CHOCOLATE SCENTCANDLE,0.1901,9
10120,72739B,WHITE CHOCOLATE SCENT CANDLE,0.1863,10
10123C,21088,SET/6 FRUIT SALAD PAPER CUPS,0.8735,1
10123C,21096,SET/6 FRUIT SALAD  PAPER PLATES,0.873,2
10123C,10123G,ARMY CAMO WRAPPING TAPE,0.8674,3
10123C,20670,VIP HOLIDAY PURSE,0.8668,4
10123C,16043,POP ART PUSH DOWN RUBBER,0.8662,5
10123C,37423,WHITE WITH BLACK CATS PLATE,0.8661,6
10123C,85160A,WHITE BIRD GARDEN DESIGN MUG,0.8658,7
10123C,84493,BLUE/PINK NEST STRIPE BOX,0.8658,8
10123C,37444B,BLUE BREAKFAST CUP AND SAUCER,0.8658,9
10123C,84924F,PSYCHEDELIC METAL SIGN CALENDAR,0.8658,10
10123G,85160A,WHITE BIRD GARDEN DESIGN MUG,0.9999,1
10123G,84493,BLUE/PINK NEST STRIPE BOX,0.9999,2
10123G,37444B,BLUE BREAKFAST CUP AND SAUCER,0.9999,3
10123G,84924F,PSYCHEDELIC METAL SIGN CALENDAR,0.9999,4
10123G,85160B,BLACK BIRD GARDEN DESIGN MUG,0.9999,5
10123G,84924D,LA PALMIERA METAL SIGN CALENDAR,0.9999,6
10123G,21392,RED SPOTTY PUDDING BOWL,0.9999,7
10123G,16047,POP ART PEN CASE & PENS,0.9999,8
10123G,84847,FLORAL BATHROOM SET,0.9999,9
10123G,37471,MULTICOLOUR DOTS PLATE,0.9999,10
10124A,62074B,ELEPHANT CLIP W SUCTION CUP,0.3746,1
10124A,10124G,ARMY CAMO BOOKCOVER TAPE,0.3566,2
10124A,16169D,WRAP WINTER FOREST,0.2667,3
10124A,20620,RED SPOTTY PASSPORT COVER,0.1732,4
10124A,20721,OWLS CHARLOTTE BAG,0.1732,5
10124A,35945,GOLD CHRISTMAS STOCKING DECORATION,0.1732,6
10124A,84311,CAMOFLAGE CUSHION COVER,0.1732,7
10124A,85043,RED HEART CANDY POP LIGHTS,0.1732,8
10124A,85171,S/2 HYACINTH BULB CANDLES,0.1732,9
10124A,23141,TRIPLE WIRE HOOK PINK HEART,0.1703,10
10124G,10124A,SPOTS ON RED BOOKCOVER TAPE,0.3566,1
10124G,20620,RED SPOTTY PASSPORT COVER,0.2106,2
10124G,20721,OWLS CHARLOTTE BAG,0.2106,3
10124G,35945,GOLD CHRISTMAS STOCKING DECORATION,0.2106,4
10124G,84311,CAMOFLAGE CUSHION COVER,0.2106,5
10124G,85043,RED HEART CANDY POP LIGHTS,0.2106,6
10124G,85171,S/2 HYACINTH BULB CANDLES,0.2106,7
10124G,23141,TRIPLE WIRE HOOK PINK HEART,0.2071,8
10124G,84030C,KNITTED RAINBOW HOT WATER BOTTLE,0.1986,9
10124G,85095,THREE CANVAS LUGGAGE TAGS,0.1868,10
10125,23224,CHERUB HEART DECORATION GOLD,0.6551,1
10125,23222,CHRISTMAS TREE HANGING GOLD,0.6472,2
10125,23007,SPACEBOY BABY GIFT SET,0.5215,3
10125,23010,CIRCUS PARADE BABY GIFT SET,0.5079,4
10125,23009,I LOVE LONDON BABY GIFT SET,0.4996,5
10125,20682,RED SPOTTY CHILDS UMBRELLA,0.4116,6
10125,22398,MAGNETS PACK OF 4 SWALLOWS,0.3303,7
10125,44241C,BLUE BUTTERFLY ON SPRING,0.2913,8
10125,22559,SEASIDE FRISBEE,0.2279,9
10125,21399,BLUE  SPOTTY  COFFEE MUG,0.2127,10
10133,22936,BAKING MOULD ROSE WHITE CHOCOLATE,0.4022,1
10133,20715,LITTLE FLOWER SHOPPER BAG,0.3976,2
10133,37345,ASSTD HEARTS DESIGN MUGS,0.3966,3
10133,23046,PAPER LANTERN 9 POINT DELUXE STAR,0.3961,4
10133,20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,0.396,5
10133,84798A,PINK FOXGLOVE ARTIIFCIAL FLOWER,0.3948,6
